job_role_id,job_post_id,role_title,role_budget,budget_currency,budget_type,display_order
e4e39157-6629-4431-87dc-9c5ee06356ca,2a331255-2c12-4fc1-910a-c33f775c7301,Fullstack Engineer,5109.69,USD,fixed,0
453d76c8-c8c7-4d29-a149-77784d5654c7,2a331255-2c12-4fc1-910a-c33f775c7301,Fullstack Engineer,1489.17,USD,fixed,1
d89b1258-c4a4-4b04-906a-39dc40e9b477,2a331255-2c12-4fc1-910a-c33f775c7301,Fullstack Engineer,3004.63,USD,negotiable,2
1f454531-6745-44f2-8384-e96eba419347,b1990919-11da-4bbd-8f7f-32e9bb171557,Backend Engineer,623.45,USD,fixed,0
d1472506-906b-4207-992b-16bee7718684,b1990919-11da-4bbd-8f7f-32e9bb171557,Backend Engineer,3781.22,USD,negotiable,1
d15e4e74-5bd7-49e7-a687-fdea092195d9,b1990919-11da-4bbd-8f7f-32e9bb171557,Backend Engineer,815.68,USD,negotiable,2
d7a29e42-0e57-45f3-a030-72668e1c2b0f,526300e8-4703-44b6-b9e9-a4f9a526b0e5,Backend Engineer,3733.85,USD,fixed,0
5ca1aa58-764e-44a0-91d8-66c025ded424,5a2b555d-29e6-4b67-b861-7fe6699f8450,Mobile Engineer,4121.5,USD,fixed,0
c163faa1-9d93-476f-8e30-d69985da07cc,5a2b555d-29e6-4b67-b861-7fe6699f8450,Mobile Engineer,843.45,USD,fixed,1
019edb4b-03b8-4a86-8f0e-4b24d2ae02da,5a2b555d-29e6-4b67-b861-7fe6699f8450,Mobile Engineer,1285.69,USD,negotiable,2
e742ceb1-5b73-4bc5-ad85-a301fa0fa5d7,a0faea2b-deb4-4bf1-881f-b98429f8f4eb,Design Designer,2266.3,USD,negotiable,0
73d41950-44e3-4e49-b221-293be48e3279,a0faea2b-deb4-4bf1-881f-b98429f8f4eb,Design Designer,1756.94,USD,negotiable,1
4b5bca60-884b-4bba-af77-1297b3864e8d,a0faea2b-deb4-4bf1-881f-b98429f8f4eb,Design Designer,2525.8,USD,negotiable,2
e1628dac-2444-4e71-b76f-51295160e8ec,1ece7480-4fe9-4a21-8073-96e3340f3d70,Frontend Engineer,2525.25,USD,fixed,0
d9dc8e65-77ae-4260-817a-bba7c5d7c6b2,1ece7480-4fe9-4a21-8073-96e3340f3d70,Frontend Engineer,3571.78,USD,fixed,1
2ec34782-bacd-462c-ab5b-a44b58b1723f,e84f0a8d-2779-4b9c-b5e8-87cf332e7afc,Frontend Engineer,2938.88,USD,negotiable,0
31d87b02-ff33-4788-9b83-b70d49ade874,e84f0a8d-2779-4b9c-b5e8-87cf332e7afc,Frontend Engineer,930.47,USD,negotiable,1
db2a2388-c37d-48b9-96f5-68f3b9a3134f,a328013f-b1cc-4e7a-9e55-f9d30d7cb211,Fullstack Engineer,7225.65,USD,negotiable,0
be241210-47cf-485f-878a-ad6546929962,a328013f-b1cc-4e7a-9e55-f9d30d7cb211,Fullstack Engineer,3019.58,USD,fixed,1
a08da024-ceaf-41b6-a816-d64802975e39,a328013f-b1cc-4e7a-9e55-f9d30d7cb211,Fullstack Engineer,5723.09,USD,negotiable,2
e3bdf01f-1082-4207-90f6-1bc8cbe4161a,e8baf98e-83c4-4a01-b466-349a0aa0ad3c,Frontend Engineer,1346.57,USD,fixed,0
8467b8f6-4e26-40d9-9a34-232fee13a721,e8baf98e-83c4-4a01-b466-349a0aa0ad3c,Frontend Engineer,985.32,USD,fixed,1
f04648fd-2604-47d9-91dd-c132d85b02d8,bfe71d26-a200-4cd5-9ad3-c06fa201fcfe,Blockchain Engineer,10247.69,USD,negotiable,0
1208b27e-e3f5-4cef-a49c-f0c197319f55,bfe71d26-a200-4cd5-9ad3-c06fa201fcfe,Blockchain Engineer,13347.57,USD,fixed,1
621acc02-d521-45b4-9b69-cb07ae852e5a,bfe71d26-a200-4cd5-9ad3-c06fa201fcfe,Blockchain Engineer,6562.16,USD,negotiable,2
06973f9b-16b3-4437-9985-c597e86654db,d7c37934-fd39-4cb2-a451-d69551e095c3,Design Designer,1467.83,USD,negotiable,0
58fa74da-b6f8-4940-834d-835c250a63b5,d7c37934-fd39-4cb2-a451-d69551e095c3,Design Designer,1327.48,USD,negotiable,1
b0f09a74-39cb-41ab-b661-ebbd6c8cab55,8f6685fb-18e4-40f6-a7a8-25411d4d8e6b,Backend Engineer,4209.08,USD,negotiable,0
f626f9bf-de7f-4d07-9977-a2122b3f3941,8f6685fb-18e4-40f6-a7a8-25411d4d8e6b,Backend Engineer,1722.61,USD,negotiable,1
be080297-7656-487d-b421-438b319222d1,8f6685fb-18e4-40f6-a7a8-25411d4d8e6b,Backend Engineer,4832.2,USD,negotiable,2
31719c06-8956-42e6-be9d-dedc37ef9e11,06b1f014-ea11-4749-9aa2-ceeb711c36dd,Design Designer,1407.0,USD,fixed,0
88b9521c-993c-46ab-85bc-6e63d4e914cd,06b1f014-ea11-4749-9aa2-ceeb711c36dd,Design Designer,2870.44,USD,fixed,1
4e449846-7740-4b63-9622-52fa9b47f466,06b1f014-ea11-4749-9aa2-ceeb711c36dd,Design Designer,2115.08,USD,negotiable,2
885e629b-43ba-4793-98da-5923acca8c1c,174119fe-0d14-4c88-8ba6-a0bd6a1d65ea,Devops Engineer,7312.17,USD,negotiable,0
71cc1cb2-f6e1-4bdd-ab2e-14cdfc980cef,174119fe-0d14-4c88-8ba6-a0bd6a1d65ea,Devops Engineer,7715.64,USD,negotiable,1
109481b8-7118-47ce-b901-a332ec117f6d,174119fe-0d14-4c88-8ba6-a0bd6a1d65ea,Devops Engineer,4243.03,USD,negotiable,2
4b32af1c-38dd-4189-99d8-d7b305b5a4b4,c203b870-6c60-421f-a64a-4b5d0ddbf00c,Frontend Engineer,1880.24,USD,negotiable,0
74c8139e-64e8-4055-b3ec-886c4dba05d6,c203b870-6c60-421f-a64a-4b5d0ddbf00c,Frontend Engineer,2778.6,USD,fixed,1
88d78f12-82c7-4f17-bac1-77b02980a156,5ca4a8af-3055-4212-9a93-b68d7e665abe,Blockchain Engineer,13706.77,USD,fixed,0
b094bbfe-df5f-4def-897b-d9a19d2c298c,5ca4a8af-3055-4212-9a93-b68d7e665abe,Blockchain Engineer,9013.08,USD,negotiable,1
74616839-5b31-4531-9e19-1fa1636bd9c8,dc8135ea-ba43-4d3c-822c-9bdf7de1b0f5,Ml Ai Engineer,9854.77,USD,negotiable,0
8d2f121f-bc32-415f-b8e5-28b926022dbb,dc8135ea-ba43-4d3c-822c-9bdf7de1b0f5,Ml Ai Engineer,8979.53,USD,negotiable,1
535dba82-a5b1-4ca3-8ba0-0e4cf93731d2,5663b2b9-77d0-4ff2-9cd4-bfe4c2797a68,Backend Engineer,2086.25,USD,fixed,0
515ee4ea-2cf7-4b32-9438-b9627f906a76,5663b2b9-77d0-4ff2-9cd4-bfe4c2797a68,Backend Engineer,1146.12,USD,negotiable,1
c5171e22-c536-45f9-8a63-72b567cc712c,1a5f0c8f-87dd-4fc0-ad94-74f7583baeee,Blockchain Engineer,9355.32,USD,negotiable,0
16dcaef0-cecc-471f-a402-62abcb8746e1,754a29c0-dfdf-4125-affc-fdca73d321e0,Backend Engineer,2553.76,USD,fixed,0
