rating_id,contract_id,client_id,freelancer_id,communication_score,result_quality_score,professionalism_score,timeline_compliance_score,overall_rating
e993b3aa-5158-451a-ad4d-ce0c2a01a57d,7bff42e8-2899-40e3-8866-96d9364ddbd5,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,ff82d958-7ffc-4e3a-a5a0-cac0ef18034b,5,4,3,4,4.33
d526a7d5-a0f1-4b2e-9ae5-f047e96340eb,1302c83f-06e4-4a10-9075-0b72f378829d,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,428e2b84-8214-48a1-8eca-f8fff19f8877,3,4,4,3,3.86
bf872143-e32d-480b-b76c-733f785534dd,d4552d08-cd17-440d-b396-10ca89704f28,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,496ef1d3-e82e-4ba0-9f41-fbfce5fdb2eb,4,3,4,3,3.57
d6b78eba-7f74-4106-98ad-ede16608b56b,e15b0f50-2728-4d1d-827e-b28b5d28577e,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,b995af9a-b304-4027-96bb-0b83c10aaec9,3,5,4,5,4.38
241a9b13-d29e-4b0f-a7b4-57a2cb5a6523,742889d3-4b4d-4214-8016-60a45c60ccbf,02bf6172-7b78-4946-9bde-09011b2ad0f1,a08cf8b4-7fbe-4b25-b00f-671fc4f4f860,3,4,3,5,3.78
4b7d370e-0e32-4f07-b142-b3c5d4584c97,f5e46112-7e33-4418-b61d-79284d296117,02bf6172-7b78-4946-9bde-09011b2ad0f1,1040914d-05bc-4ed0-a968-cc12d45fb5c5,4,2,5,5,3.29
4a8e5413-08b1-4127-aeea-6d7d3ffcc8ba,0e78a913-a6ae-4fd4-97c6-c61b3a4f7508,02bf6172-7b78-4946-9bde-09011b2ad0f1,7147be97-e902-41ed-9398-eaec3611bd6b,4,2,3,3,3.67
1497ba2f-cf85-49dd-bbe7-b08c927649ed,04de2031-b729-41ec-b1b1-b271188b5952,02bf6172-7b78-4946-9bde-09011b2ad0f1,dcfe345a-c673-41d0-93fd-db7f4ab5394a,4,4,5,5,4.51
9001b9a2-51de-4ed9-bc9a-e6a001760309,ed0eee3e-832a-427f-8b06-8f6d31d2afb5,02bf6172-7b78-4946-9bde-09011b2ad0f1,b44f658d-75f1-4215-8d0d-f12e6f07ca74,3,3,5,2,3.43
ccc92d33-6b14-45cd-94bd-5fa82bf515ab,edce0902-36fc-409a-95f4-d62681f1c869,dc353c9d-b72d-40e3-9ff5-607ea58c3d10,2c379236-cbf5-41a8-aec1-753bc8b6ffed,3,3,3,2,4.81
e6f55826-a5a3-448e-b81f-4ee84f739fab,50fc9d12-040d-4267-93ae-648635fa4f57,dc353c9d-b72d-40e3-9ff5-607ea58c3d10,75e75db4-32b0-42d9-9392-fb1507544e19,3,3,4,3,3.02
ad172a13-9eb2-40a7-94bc-9efff190e428,a06804cc-9b7e-4190-a366-8535eaed1244,dc353c9d-b72d-40e3-9ff5-607ea58c3d10,f18ae44d-1636-4432-b923-4f5b277bfacb,5,3,3,5,3.11
f69477b7-4c70-49c8-9455-a3db1f1ba2b7,f52adac7-1372-4b31-9d0d-1cae8b4e3c2e,dc353c9d-b72d-40e3-9ff5-607ea58c3d10,8d2229f4-4313-4b5d-b9eb-d84cfa2d4faf,4,2,4,5,3.0
e48d2296-4485-4bd0-ae7a-3fe0dbbdb114,e9afee41-c6eb-4300-a157-375efd5273b3,dc353c9d-b72d-40e3-9ff5-607ea58c3d10,820485ed-9d3b-4ae9-bbb4-980c5802991d,3,4,5,4,3.0
a4b88441-4c4f-4ce9-b152-bbe36d954188,d40232fd-22fb-48b8-8de7-ef2d4edea806,7ea733e1-78d1-4701-8be3-34e198c598f1,eee57cc8-0424-4692-847a-e2fbbeb128eb,4,5,4,3,4.12
