feature,importance
skill_overlap_pct,16.615162755050356
exp_delta,16.385214969920998
experience_level_match,13.418517508358857
skill_depth,13.30008022343333
rate_ratio,6.873576095172724
portfolio_relevance,6.299736041519346
skill_required_matched,4.7568872218462666
work_exp_count,3.499711183844568
language_match,2.9899311783818225
total_jobs,2.978833891528642
cosine_sim,2.7669391506840917
rate_in_budget,2.492896256485165
skill_required_total,2.053953379367053
speciality_match,1.8459411627238922
domain_match,1.7839050527689475
skill_preferred_pct,0.8716509811564804
recency_score,0.6316595668710892
has_portfolio,0.4354033808863616
